Descripción;Categoría;Proveedor / origen;Cantidad;Costo unitario (US$);Peso unitario (kg)
Aros argolla plateados;Accesorio;Mayorista online, EE. UU.;12;2,80;0,020
Aros corazón dorados;Accesorio;Mayorista online, EE. UU.;10;3,20;0,015
Collar cadena fina con dije;Accesorio;Mayorista online, EE. UU.;8;4,50;0,020
Pulsera tejida multicolor;Accesorio;Mayorista online, EE. UU.;15;1,99;0,010
Anillo ajustable piedra rosa;Accesorio;Mayorista online, EE. UU.;10;2,50;0,010
Hebilla para pelo carey;Accesorio;Mayorista online, EE. UU.;12;1,80;0,015
Vincha acolchada negra;Accesorio;Mayorista online, EE. UU.;6;3,99;0,050
Scrunchie satinado x2;Accesorio;Mayorista online, EE. UU.;10;2,99;0,030
Lentes de sol redondos;Accesorio;Mayorista online, EE. UU.;6;6,50;0,070
Estuche para lentes;Accesorio;Mayorista online, EE. UU.;6;2,20;0,060
Billetera mini con cierre;Accesorio;Mayorista online, EE. UU.;5;7,90;0,120
Cartera baguette acolchada;Accesorio;Mayorista online, EE. UU.;3;18,50;0,450
Mochila mini símil cuero;Accesorio;Mayorista online, EE. UU.;2;22,00;0,700
Neceser transparente;Accesorio;Mayorista online, EE. UU.;5;4,99;0,150
Pañuelo satinado estampado;Accesorio;Mayorista online, EE. UU.;8;3,50;0,040
Gorro de lana beige;Accesorio;Mayorista online, EE. UU.;4;6,99;0,120
Medias largas pack x3;Prenda;Tienda X, EE. UU.;6;5,50;0,150
Top tejido crochet;Prenda;Tienda X, EE. UU.;4;11,90;0,200
Remera baby tee estampada;Prenda;Tienda X, EE. UU.;6;7,99;0,180
Short de lino beige;Prenda;Tienda X, EE. UU.;3;14,50;0,280
